Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
181.41127490997314	0	-194.3888	-10.617288	71.757996	-30.338755	-416.024	20.0	0.0	1020	10020	-189.56433	-9.963928
353.99068212509155	1	-188.43355	-10.304868	69.72707	-29.760244	-366.13702	20.0	0.0	1020	20040	-174.38142	-8.84159
514.6784934997559	2	-189.26076	-9.859259	68.32997	-30.487047	-393.58984	20.0	0.0	1020	30060	-178.84105	-9.458014
674.9454326629639	3	-186.23235	-9.493398	68.85201	-24.677069	-373.6758	20.0	0.0	1020	40080	-180.99182	-9.160537
835.5905382633209	4	-183.47775	-9.424292	71.72415	-40.676655	-404.0117	20.0	0.0	1020	50100	-184.71399	-8.433038
996.2045238018036	5	-191.43088	-9.662588	66.4493	-37.94229	-424.1773	20.0	0.0	1020	60120	-175.6997	-8.634951
1156.949210882187	6	-179.55661	-8.928596	68.90728	-24.062714	-412.47235	20.0	0.0	1020	70140	-154.58469	-7.698589
1317.5638539791107	7	-175.0549	-8.533458	71.72174	-32.876583	-371.31897	20.0	0.0	1020	80160	-166.20428	-8.532877
1478.410804271698	8	-178.60558	-8.757352	69.06069	-34.839176	-378.71268	20.0	0.0	1020	90180	-175.08224	-8.715723
1638.9090666770935	9	-177.3573	-8.667078	65.76883	-37.029858	-388.12744	20.0	0.0	1020	100200	-173.81078	-7.786579
1799.915331363678	10	-178.96936	-8.829669	72.52742	-28.343924	-426.08127	20.0	0.0	1020	110220	-180.97986	-8.640709
1960.61758852005	11	-171.3938	-8.131502	66.88862	-34.499603	-419.23285	20.0	0.0	1020	120240	-173.17892	-8.168466
2121.3432784080505	12	-165.44131	-7.7877145	70.56788	-32.77153	-365.3959	20.0	0.0	1020	130260	-169.28282	-8.51773
2282.3121099472046	13	-171.09705	-7.952409	69.57485	-20.624872	-348.72363	20.0	0.0	1020	140280	-140.1305	-6.2889013
2443.16730427742	14	-156.84729	-7.0527697	69.34038	-37.88267	-397.94528	20.0	0.0	1020	150300	-155.73595	-7.422444
2604.112787246704	15	-166.13666	-7.7277775	74.69072	-26.677856	-380.65366	20.0	0.0	1020	160320	-161.48593	-7.4193006
2765.1870720386505	16	-162.14922	-7.2350125	68.60151	-29.988844	-416.0639	20.0	0.0	1020	170340	-147.72122	-6.1563563
2926.0450689792633	17	-158.80103	-7.047422	66.67841	-30.797215	-395.28195	20.0	0.0	1020	180360	-151.41489	-6.358516
3088.010348558426	18	-163.59618	-7.1486115	73.35567	-20.135098	-407.82623	20.0	0.0	1020	190380	-159.95769	-7.0214577
3249.1265454292297	19	-152.09972	-6.635087	69.69089	-30.786175	-379.60535	20.0	0.0	1020	200400	-158.3984	-6.4883657
3412.205315589905	20	-147.75511	-6.3010573	69.56607	-24.502224	-356.04138	20.0	0.0	1020	210420	-161.46092	-6.32316
3573.169639110565	21	-152.84726	-6.412982	71.166	-24.176176	-380.68442	20.0	0.0	1020	220440	-122.66846	-5.089823
3735.224189519882	22	-146.89209	-6.115304	67.23349	-42.66685	-392.69644	20.0	0.0	1020	230460	-171.23645	-8.133494
3896.143232345581	23	-157.67155	-6.674259	78.02678	-34.92921	-415.51865	20.0	0.0	1020	240480	-157.54515	-6.243623
