Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
155.02311062812805	0	-171.00148	-9.256535	63.6324	-33.43217	-332.28687	20.0	0.0	1020	10020	-185.19904	-10.012684
302.96828508377075	1	-169.95747	-9.064631	65.08507	-37.227627	-378.00632	20.0	0.0	1020	20040	-158.34381	-8.676987
442.67263078689575	2	-164.46935	-8.967856	63.276546	-33.759037	-350.75784	20.0	0.0	1020	30060	-170.58356	-8.941665
582.42422914505	3	-171.66985	-9.057149	67.996864	-31.57007	-348.5803	20.0	0.0	1020	40080	-134.16888	-7.229897
721.8101670742035	4	-163.10309	-8.679697	61.677444	-29.09187	-336.10318	20.0	0.0	1020	50100	-191.687	-9.908825
861.6622598171234	5	-162.34268	-8.386824	61.096016	-32.50522	-379.15234	20.0	0.0	1020	60120	-163.76758	-8.919598
1001.2503650188446	6	-155.30026	-7.984625	61.974323	-32.76211	-386.62088	20.0	0.0	1020	70140	-134.86563	-6.7325525
1141.1005589962006	7	-153.138	-7.7681227	63.64755	-24.371403	-331.51395	20.0	0.0	1020	80160	-156.73697	-7.574543
1281.084704399109	8	-160.65384	-7.8650603	64.42302	-33.075417	-309.75275	20.0	0.0	1020	90180	-159.1522	-7.5588937
1420.8913035392761	9	-160.20921	-7.820705	70.32019	-25.95243	-365.63425	20.0	0.0	1020	100200	-171.16835	-8.32908
1561.1809825897217	10	-157.28993	-7.721238	66.29824	-26.886528	-386.37662	20.0	0.0	1020	110220	-169.1724	-8.631625
1701.2071447372437	11	-153.96423	-7.4869113	61.308926	-27.960522	-344.52795	20.0	0.0	1020	120240	-156.24344	-7.7676187
1841.055570602417	12	-154.71686	-7.234922	66.751396	-31.871716	-444.27887	20.0	0.0	1020	130260	-150.90045	-6.611197
1981.422462463379	13	-152.50708	-7.0388484	60.747463	-30.006268	-320.44827	20.0	0.0	1020	140280	-126.32074	-5.905735
2121.740433692932	14	-145.90613	-6.4083667	65.14579	-20.042078	-373.52316	20.0	0.0	1020	150300	-116.879135	-5.014355
2261.536293029785	15	-146.19733	-6.5908523	61.47451	-15.767475	-317.6491	20.0	0.0	1020	160320	-157.53845	-7.1710544
2401.4001591205597	16	-144.8085	-6.3830633	68.496895	-30.626368	-363.0459	20.0	0.0	1020	170340	-137.6276	-5.782637
2541.6368193626404	17	-128.08162	-5.474452	60.55277	-22.11265	-311.34772	20.0	0.0	1020	180360	-130.4493	-6.2216163
2681.877737760544	18	-140.97534	-6.0482974	66.03068	-22.46678	-343.39255	20.0	0.0	1020	190380	-121.606415	-5.3261466
2821.676117658615	19	-134.67055	-5.6404867	65.4065	-19.142574	-347.28363	20.0	0.0	1020	200400	-131.72182	-5.7588305
2961.541112422943	20	-139.56688	-5.984126	73.28651	-24.44027	-389.2102	20.0	0.0	1020	210420	-122.70443	-5.298343
3102.163139104843	21	-142.57019	-6.261084	67.85989	-29.201464	-397.04843	20.0	0.0	1020	220440	-119.11215	-4.61468
3242.0519020557404	22	-140.49243	-5.865056	68.01536	-22.712908	-393.61295	20.0	0.0	1020	230460	-161.99815	-6.176533
3381.9628348350525	23	-139.8848	-6.123266	76.20008	-14.569342	-413.00137	20.0	0.0	1020	240480	-172.75986	-7.5295033
3521.8769919872284	24	-122.64859	-5.08071	59.25482	-24.4076	-362.01437	20.0	0.0	1020	250500	-132.75844	-5.6576843
3661.8760619163513	25	-126.73508	-5.3205686	64.78504	-22.293446	-368.40137	20.0	0.0	1020	260520	-130.40472	-5.586607
3801.904638528824	26	-130.00987	-5.4283133	61.04339	-26.035955	-400.46484	20.0	0.0	1020	270540	-151.34756	-5.94948
3942.3971774578094	27	-134.22617	-5.7097607	66.849785	-21.76451	-386.8724	20.0	0.0	1020	280560	-131.37105	-6.3989663
4082.5431792736053	28	-134.0243	-5.4894805	68.87908	-18.296915	-456.73633	20.0	0.0	1020	290580	-115.32169	-4.3192697
4222.249874830246	29	-127.03084	-5.2358713	64.51895	-24.864536	-397.95422	20.0	0.0	1020	300600	-120.48934	-5.4771986
4362.292461633682	30	-126.64299	-5.225374	66.83286	-28.157354	-364.70685	20.0	0.0	1020	310620	-112.561356	-4.152446
4502.475763559341	31	-129.22289	-5.6236424	69.023056	-19.40804	-444.79138	20.0	0.0	1020	320640	-132.83467	-4.9731193
4642.479933023453	32	-121.67025	-4.858796	62.478283	-21.735096	-388.44107	20.0	0.0	1020	330660	-121.17015	-5.0903816
4782.240157365799	33	-132.35675	-5.5851336	70.01953	-22.844841	-461.5586	20.0	0.0	1020	340680	-132.08698	-5.7052484
4922.536229848862	34	-127.256996	-5.296163	71.45492	-24.175947	-441.89133	20.0	0.0	1020	350700	-128.9477	-4.762285
5063.374780654907	35	-127.07156	-5.3316245	69.89242	-29.046314	-515.4325	20.0	0.0	1020	360720	-120.13359	-4.5988197
5203.496311903	36	-130.86551	-5.371401	78.920296	-23.167427	-516.7965	20.0	0.0	1020	370740	-106.21298	-4.3984027
5343.832071304321	37	-124.98106	-4.965199	67.08466	-21.712511	-402.36917	20.0	0.0	1020	380760	-105.45062	-3.7953653
5483.991239070892	38	-123.93556	-4.962032	73.166626	-19.464678	-461.92316	20.0	0.0	1020	390780	-147.42389	-6.072373
5624.504216909409	39	-120.663994	-4.767388	70.428764	-19.687504	-506.8629	20.0	0.0	1020	400800	-142.13556	-5.200382
5764.242982387543	40	-122.82845	-4.6954494	66.925835	-15.990425	-385.2199	20.0	0.0	1020	410820	-119.737686	-5.0712113
5904.736989021301	41	-123.82518	-4.8866367	76.34056	-20.666084	-584.8659	20.0	0.0	1020	420840	-136.93927	-6.406005
6045.0177137851715	42	-114.23103	-4.5090675	65.010994	-16.265326	-405.6595	20.0	0.0	1020	430860	-103.86325	-4.0965166
6185.441364526749	43	-109.534	-4.183055	66.993225	-19.651463	-519.99805	20.0	0.0	1020	440880	-100.36817	-3.9793773
