Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
1746.754153728485	25	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-7.8635657e-07	-7.8635657e-07	-0.6931483	0.0014324188	3.9111437e-05	2.1122503e-05	0.69315207	30049	781274
1808.391452074051	26	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	4.8117712e-08	4.8117712e-08	-0.6931473	0.00023716688	2.4152787e-06	1.3457656e-06	0.6931474	30049	811323
1869.4316675662994	27	0.32160804	3.5722392	48.0	0.0	151.0	0.0	0.0021298546	0.0021298546	0.002129903	0.002129903	-0.6931473	0.00015437654	-1.7685127e-07	1.6316513e-09	0.6931472	30049	841372
1930.3562302589417	28	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.9292377e-09	-1.9292377e-09	-0.6931473	1.3382072e-05	-1.3113595e-07	5.5008933e-08	0.6931472	30049	871421
1990.7345306873322	29	0.2512563	3.53549	50.0	0.0	151.0	0.0	0.0016639489	0.0016639489	0.0016665547	0.0016665547	-0.6932269	0.012631327	-9.43819e-08	2.1488385e-07	0.693227	30049	901470
2050.012191295624	30	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	5.850862e-07	5.850862e-07	-0.69315183	0.0030208526	0.0044080894	0.002592513	0.69359255	30049	931519
2109.3724098205566	31	0.16080402	2.2627134	32.0	0.0	151.0	0.0	0.0010649273	0.0010649273	0.001065442	0.001065442	-0.6931521	0.0031383338	3.6087036e-05	3.2254058e-05	0.69315577	30049	961568
2168.1895191669464	32	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	3.9590567e-08	3.9590567e-08	-0.6931475	0.0007672011	1.4782528e-05	3.5018177e-06	0.693149	30049	991617
2226.8756749629974	33	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.0146539e-07	1.0146539e-07	-0.6926279	0.0058316127	0.00034672092	0.00014075133	0.6926625	30049	1021666
2285.8472480773926	34	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-5.8726226e-07	-5.8726226e-07	-0.69464326	0.017138425	0.0035619284	0.0015375263	0.6949996	30049	1051715
2344.9038598537445	35	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.12903e-08	-2.12903e-08	-0.6929984	0.00947103	0.0024106884	0.0007803914	0.69323957	30049	1081764
2404.264992237091	36	0.015075377	0.21212934	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	0.00010053632	0.00010053632	-0.6936004	0.0052365237	0.0011082396	0.00026037678	0.6937113	30049	1111813
2463.274688720703	37	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.42235e-06	1.42235e-06	-0.6931607	0.0064943614	0.0009911193	0.00031858557	0.69325995	30049	1141862
2522.424736738205	38	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.1658008e-06	1.1658008e-06	-0.69316995	0.0067597926	0.000647818	0.00043826288	0.6932348	30049	1171911
2582.337021112442	39	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	4.3882713e-07	4.3882713e-07	-0.6931491	0.0019859623	3.8866252e-05	1.0313354e-05	0.6931531	30049	1201960
2643.055296897888	40	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.524852e-07	7.524852e-07	-0.6932477	0.0017663825	5.8668513e-05	2.5170937e-05	0.6932534	30049	1232009
2704.2734365463257	41	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.1611225e-07	7.1611225e-07	-0.6921214	0.012881738	0.0029379725	0.0026309756	0.69241524	30049	1262058
2765.889541864395	42	0.18090452	2.545552	36.0	0.0	151.0	0.0	0.0011980432	0.0011980432	0.0011977049	0.0011977049	-0.6931474	0.0005961833	0.000101784855	4.0424336e-05	0.6931576	30049	1292107
2827.7414376735687	43	0.17085427	2.4041326	34.0	0.0	151.0	0.0	0.0011314852	0.0011314852	0.0011310192	0.0011310192	-0.6931495	0.0022357155	4.9723538e-05	1.8125176e-05	0.69315463	30049	1322156
2889.575952768326	44	0.4321608	3.1052186	28.0	0.0	151.0	0.0	0.002861992	0.002861992	0.0028612975	0.0028612975	-0.6932273	0.0020701995	0.0015686249	0.00034747794	0.69338405	30049	1352205
2951.91695189476	45	0.32160804	2.6328208	26.0	0.0	151.0	0.0	0.0021298546	0.0021298546	0.0021297692	0.0021297692	-0.6931471	9.220841e-05	3.1251835e-05	1.1707883e-05	0.6931503	30049	1382254
3013.8612575531006	46	2.0653267	8.894736	60.0	0.0	151.0	0.0	0.013677659	0.013677659	0.013677542	0.013677542	-0.69314957	0.0022554693	5.964079e-05	2.4020763e-05	0.69315565	30049	1412303
3076.211906194687	47	1.6683418	7.087433	59.0	0.0	151.0	0.0	0.011048621	0.011048621	0.011048674	0.011048674	-0.69315314	0.0034404998	0.00037022028	5.9796614e-05	0.69319016	30049	1442352
3138.407626390457	48	2.3969848	8.753933	55.0	0.0	151.0	0.0	0.015874073	0.015874073	0.015874086	0.015874086	-0.6931473	0.0004933222	0.00047558796	0.00010438425	0.69319487	30049	1472401
3201.4367973804474	49	2.9296482	9.6811	65.0	0.0	151.0	0.0	0.019401643	0.019401643	0.019401608	0.019401608	-0.6931527	0.003302217	9.094606e-05	4.53471e-05	0.6931617	30049	1502450
3264.343650341034	50	2.9648242	10.149325	63.0	0.0	151.0	0.0	0.019634597	0.019634597	0.01963499	0.01963499	-0.69314784	0.0012825726	7.206134e-05	3.185687e-05	0.6931551	30049	1532499
3326.6417598724365	51	1.7839196	7.1148887	56.0	0.0	151.0	0.0	0.011814037	0.011814037	0.011814056	0.011814056	-0.6931575	0.004550443	3.5346642e-07	1.6738088e-07	0.6931575	30049	1562548
3389.1169505119324	52	0.7638191	4.701063	39.0	0.0	151.0	0.0	0.0050584045	0.0050584045	0.005058148	0.005058148	-0.69314814	0.0012965263	2.541624e-05	1.183644e-05	0.6931505	30049	1592597
3452.026786327362	53	1.2512562	6.2556257	44.0	0.0	151.0	0.0	0.008286466	0.008286466	0.008287242	0.008287242	-0.6931485	0.0016833926	0.0010028731	0.00034958092	0.69324887	30049	1622646
3514.5359032154083	54	0.6482412	4.369478	45.0	0.0	151.0	0.0	0.004292988	0.004292988	0.0042931302	0.0042931302	-0.6931473	0.00013062361	0.0007586774	0.0003482253	0.693223	30049	1652695
3576.751374721527	55	0.9045226	4.8614917	48.0	0.0	151.0	0.0	0.005990216	0.005990216	0.0059908056	0.0059908056	-0.6929178	0.0023668043	4.710987e-05	2.4875175e-05	0.6929225	30049	1682744
3639.373652935028	56	0.34170854	2.373179	26.0	0.0	151.0	0.0	0.0022629704	0.0022629704	0.0022629441	0.0022629441	-0.6931473	0.00012400755	2.1546753e-06	2.2676265e-06	0.69314736	30049	1712793
3702.0685119628906	57	0.015075377	0.2121293	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.983423e-05	9.983423e-05	-0.6931473	1.7434588e-05	5.3591583e-07	7.46134e-08	0.6931473	30049	1742842
3764.456114053726	58	0.3919598	2.8385596	28.0	0.0	151.0	0.0	0.0025957602	0.0025957602	0.0025951676	0.0025951676	-0.69314724	0.00053068995	0.000121195364	5.9580572e-05	0.69315946	30049	1772891
3827.280990123749	59	0.2763819	2.8104248	35.0	0.0	151.0	0.0	0.0018303437	0.0018303437	0.0018308052	0.0018308052	-0.6931488	5.14375e-05	0.00012850377	6.0737788e-05	0.69316167	30049	1802940
3890.0337297916412	60	0.04522613	0.636388	9.0	0.0	151.0	0.0	0.0002995108	0.0002995108	0.00029920123	0.00029920123	-0.6931424	0.0023475646	0.00045693872	0.00017736925	0.6931882	30049	1832989
3952.584390640259	61	0.110552765	1.1153741	13.0	0.0	151.0	0.0	0.00073213753	0.00073213753	0.0007318298	0.0007318298	-0.6931478	0.0010942491	4.821263e-07	3.663227e-07	0.6931478	30049	1863038
4014.5806968212128	62	0.36180905	4.4967604	63.0	0.0	151.0	0.0	0.0023960865	0.0023960865	0.0023963794	0.0023963794	-0.6931478	0.0010330098	0.00043008078	0.00016668116	0.69319075	30049	1893087
4076.943065881729	63	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	6.960386e-07	6.960386e-07	-0.6923172	0.00936032	0.0011038005	0.00039281847	0.6924276	30049	1923136
4139.474209308624	64	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-5.263187e-09	-5.263187e-09	-0.69314766	0.001052965	2.2826804e-05	4.300612e-06	0.69315	30049	1953185
4201.959762096405	65	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.873871e-07	7.873871e-07	-0.69320977	0.0018999655	0.0004483916	0.0001490966	0.69325465	30049	1983234
4264.339757204056	66	0.2160804	2.8352664	40.0	0.0	151.0	0.0	0.001430996	0.001430996	0.0014310471	0.0014310471	-0.6931474	0.0007102843	3.114363e-05	1.2096784e-05	0.6931505	30049	2013283
4326.341495275497	67	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.3583703e-07	7.3583703e-07	-0.693146	0.0010672212	0.00051887747	0.00019579212	0.6931981	30049	2043332
4388.472039222717	68	0.14070351	1.9798739	28.0	0.0	151.0	0.0	0.0009318114	0.0009318114	0.0009319949	0.0009319949	-0.6937785	0.007267745	5.0150455e-05	1.1854746e-05	0.6937836	30049	2073381
4450.724430322647	69	0.09045226	1.2727761	18.0	0.0	151.0	0.0	0.0005990216	0.0005990216	0.000598855	0.000598855	-0.6931483	0.0015217067	0.00014919967	9.934967e-05	0.6931633	30049	2103430
4512.972448825836	70	0.04522613	0.636388	9.0	0.0	151.0	0.0	0.0002995108	0.0002995108	0.00029931308	0.00029931308	-0.6931583	0.003379494	7.814352e-05	1.732234e-05	0.69316626	30049	2133479
4575.160149097443	71	0.11557789	1.2326008	16.0	0.0	151.0	0.0	0.0007654165	0.0007654165	0.0007655707	0.0007655707	-0.6931702	0.00029169238	2.1835209e-05	6.464484e-06	0.69317245	30049	2163528
4636.756756544113	72	0.03517588	0.4949684	7.0	0.0	151.0	0.0	0.00023295285	0.00023295285	0.00023293761	0.00023293761	-0.6931472	0.00045481324	0.0013458559	0.0005919903	0.6932819	30049	2193577
4697.9875395298	73	0.18090452	2.545552	36.0	0.0	151.0	0.0	0.0011980432	0.0011980432	0.001198913	0.001198913	-0.69226015	0.010491603	0.000260868	0.00013455407	0.69228613	30049	2223626
4758.701283454895	74	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	3.2452303e-07	3.2452303e-07	-0.6931486	0.0016701819	0.00017013148	3.9281815e-05	0.6931656	30049	2253675
4819.393237113953	75	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.799765e-07	1.799765e-07	-0.6931479	0.0012215673	1.3369171e-05	7.5267594e-06	0.6931493	30049	2283724
4879.826321601868	76	0.030150754	0.42425868	6.0	0.0	151.0	0.0	0.00019967387	0.00019967387	0.00019949899	0.00019949899	-0.69314766	0.000740314	0.00044552173	0.0002070668	0.6931921	30049	2313773
4939.748151063919	77	0.06030151	0.84851736	12.0	0.0	151.0	0.0	0.00039934774	0.00039934774	0.00039933602	0.00039933602	-0.69299304	0.0020199523	0.000100194295	4.5293058e-05	0.693003	30049	2343822
4999.779746770859	78	1.1457286	5.905782	43.0	0.0	151.0	0.0	0.007587607	0.007587607	0.007587925	0.007587925	-0.69326675	0.004259159	0.00014448405	4.1114006e-05	0.6932812	30049	2373871
5059.603710651398	79	0.71859294	4.321409	38.0	0.0	151.0	0.0	0.004758894	0.004758894	0.0047584707	0.0047584707	-0.6933955	0.0032658428	0.00047066566	0.00017549172	0.69344246	30049	2403920
5119.596978902817	80	1.1356784	7.0015564	68.0	0.0	151.0	0.0	0.007521049	0.007521049	0.0075214	0.0075214	-0.6931515	0.002920449	4.440585e-05	1.64323e-05	0.6931559	30049	2433969
5179.222864151001	81	1.1859297	7.563507	62.0	0.0	151.0	0.0	0.007853839	0.007853839	0.007854097	0.007854097	-0.69314754	0.00066775084	0.00045225123	0.0001056649	0.6931926	30049	2464018
5239.308435678482	82	0.4924623	3.3846674	27.0	0.0	151.0	0.0	0.0032613399	0.0032613399	0.003261322	0.003261322	-0.6931472	0.00012075901	3.9466804e-06	1.7707561e-06	0.6931476	30049	2494067
5298.779584884644	83	1.2512562	6.8102193	53.0	0.0	151.0	0.0	0.008286466	0.008286466	0.008286504	0.008286504	-0.69314724	0.00026765466	6.6103203e-06	3.7255638e-06	0.6931479	30049	2524116
5358.529624223709	84	0.43718594	3.6594787	43.0	0.0	151.0	0.0	0.0028952712	0.0028952712	0.0028960297	0.0028960297	-0.69315124	0.0028456748	0.00034999714	8.475139e-05	0.6931862	30049	2554165
5418.641572475433	85	0.8442211	5.2830305	47.0	0.0	151.0	0.0	0.005590868	0.005590868	0.00559038	0.00559038	-0.69315875	0.004800103	0.003114718	0.0011757646	0.6934701	30049	2584214
5478.620669841766	86	0.60301507	3.834279	36.0	0.0	151.0	0.0	0.003993477	0.003993477	0.003993482	0.003993482	-0.69323736	0.0011927434	0.0005642668	0.00021942338	0.6932938	30049	2614263
5539.027245759964	87	0.8291457	5.7345777	57.0	0.0	151.0	0.0	0.0054910313	0.0054910313	0.005491948	0.005491948	-0.69293785	0.004383437	0.0010032468	0.000514558	0.6930382	30049	2644312
5600.046131372452	88	0.06030151	0.8485173	12.0	0.0	151.0	0.0	0.00039934774	0.00039934774	0.00039968613	0.00039968613	-0.6931505	0.0025806425	0.002370744	0.0005717852	0.6933876	30049	2674361
5661.388606071472	89	0.26633167	1.7173142	18.0	0.0	151.0	0.0	0.0017637858	0.0017637858	0.0017640017	0.0017640017	-0.69314766	0.0010091065	0.00015083175	9.814967e-05	0.69316274	30049	2704410
5722.30370593071	90	0.5025126	3.7988017	43.0	0.0	151.0	0.0	0.0033278977	0.0033278977	0.003327859	0.003327859	-0.6931472	0.00018346308	9.592059e-07	5.572085e-07	0.6931473	30049	2734459
5784.102996349335	91	0.71356785	4.8684573	46.0	0.0	151.0	0.0	0.004725615	0.004725615	0.0047256565	0.0047256565	-0.69315004	0.0023789683	0.00010190884	3.954744e-05	0.6931602	30049	2764508
5846.252234458923	92	0.1356784	1.3325018	17.0	0.0	151.0	0.0	0.0008985324	0.0008985324	0.00089798187	0.00089798187	-0.6931562	0.004277587	1.888345e-05	5.224833e-06	0.6931582	30049	2794557
5908.2089602947235	93	0.015075377	0.2121293	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	9.9527315e-05	9.9527315e-05	-0.6931505	0.0015829968	0.000101458856	2.89167e-05	0.6931608	30049	2824606
5970.775615930557	94	1.0301508	6.8742557	63.0	0.0	151.0	0.0	0.0068221902	0.0068221902	0.0068219374	0.0068219374	-0.6931472	0.00035706162	0.00010720997	5.2556963e-05	0.6931579	30049	2854655
6033.366363286972	95	0.45728642	5.113479	69.0	0.0	151.0	0.0	0.003028387	0.003028387	0.0030292994	0.0030292994	-0.6927624	0.0051121023	1.5035208e-06	2.2190817e-07	0.69276243	30049	2884704
6095.710454940796	96	0.36683416	3.7391193	45.0	0.0	151.0	0.0	0.0024293654	0.0024293654	0.0024290155	0.0024290155	-0.6931124	0.001272273	0.0031045852	0.0016135871	0.6934229	30049	2914753
6157.749299526215	97	1.0301508	8.386941	76.0	0.0	151.0	0.0	0.0068221902	0.0068221902	0.0068221786	0.0068221786	-0.6931473	0.00013947491	0.00014268128	7.879563e-05	0.6931614	30049	2944802
6220.3686418533325	98	0.57788944	5.813925	67.0	0.0	151.0	0.0	0.0038270825	0.0038270825	0.0038288273	0.0038288273	-0.6931956	0.009841889	0.024121948	0.015066817	0.69560784	30049	2974851
6282.765056371689	99	0.48241207	4.4697123	47.0	0.0	151.0	0.0	0.003194782	0.003194782	0.0031949698	0.0031949698	-0.6931476	0.00082489854	0.00031869113	0.00011963157	0.69317937	30049	3004900
